Sample,Taxon,Table,Count
D3P2,Psyllid_sp,above,8164
D3P2,Rhopalosiphum_padi,above,502
D3P2,Scaptodrosophila_lativittata,above,767
PCRpool3P2,Acizzia_alternata,above,1711
PCRpool3P2,Acizzia_solanicola,above,82002
PCRpool3P2,Aphidius_colemani,above,11785
PCRpool3P2,Bactrocera_tryoni,above,2158
PCRpool3P2,Bradysia_ocellaris,above,0
PCRpool3P2,Carpophilus_davidsoni,above,6475
PCRpool3P2,Carpophilus_dimidiatus,above,1501
PCRpool3P2,Diuraphis_noxia,above,769
PCRpool3P2,Drosophila_hydeii,above,1662
PCRpool3P2,Drosophila_melanogaster,above,50600
PCRpool3P2,Drosophila_simulans,above,2999
PCRpool3P2,Lysiphlebus_testaceipes,above,3222
PCRpool3P2,Metopolophium_dirhodum,above,1160
PCRpool3P2,Psyllid_sp,above,4121
PCRpool3P2,Rhopalosiphum_padi,above,1885
PCRpool3P2,Scaptodrosophila_lativittata,above,1902
I4P2,Acizzia_alternata,above,11286
I4P2,Acizzia_solanicola,above,171308
I4P2,Aphidius_colemani,above,23108
I4P2,Bactrocera_tryoni,above,21997
I4P2,Bradysia_ocellaris,above,0
I4P2,Carpophilus_davidsoni,above,17121
I4P2,Carpophilus_dimidiatus,above,31
I4P2,Diuraphis_noxia,above,4167
I4P2,Drosophila_hydeii,above,4630
I4P2,Drosophila_melanogaster,above,102290
I4P2,Drosophila_simulans,above,5293
I4P2,Lysiphlebus_testaceipes,above,13802
I4P2,Metopolophium_dirhodum,above,8737
I4P2,Psyllid_sp,above,23472
I4P2,Rhopalosiphum_padi,above,19667
I4P2,Scaptodrosophila_lativittata,above,597
D4P2,Acizzia_alternata,above,20272
D4P2,Acizzia_solanicola,above,18331
D4P2,Aphidius_colemani,above,18415
D4P2,Bactrocera_tryoni,above,1483
D4P2,Bradysia_ocellaris,above,0
D4P2,Carpophilus_davidsoni,above,10246
D4P2,Carpophilus_dimidiatus,above,9382
D4P2,Diuraphis_noxia,above,53
D4P2,Drosophila_hydeii,above,1474
D4P2,Drosophila_melanogaster,above,50596
D4P2,Drosophila_simulans,above,682
D4P2,Lysiphlebus_testaceipes,above,5694
D4P2,Metopolophium_dirhodum,above,187
D4P2,Psyllid_sp,above,13181
D4P2,Rhopalosiphum_padi,above,817
D4P2,Scaptodrosophila_lativittata,above,1290
PCRpool4P2,Acizzia_alternata,above,1597
